,pic_name
0,Alcohol 3
1,Baby 8
2,Band 2
3,Bar 3
4,Beach 1
5,Birthday 1
6,Bridge 1
7,Cemetery 4
8,Children 1
9,Chipmunk 2
10,Cockroach 1
11,Coffee 1
12,Dancing 9
13,Dead Bodies 1
14,Depressed Pose 1
15,Dessert 6
16,Destruction 10
17,Doctor 9
18,Dog 6
19,Eating 1
20,Fire 2
21,Flowers 1
22,Frustrated pose 2
23,Grass 4
24,Gun 1
25,Gun 5
26,Injury 1
27,Jail 2
28,Lake 13
29,Money 1
30,Mother 7
31,Office supplies 4
32,Parade 1
33,Performance 2
34,Police 1
35,Police 4
36,Rocks 1
37,Sad face 3
38,Sad face 6
39,Shot 4
40,Snake 2
41,Soldiers 9
42,Soup 1
43,Spider 2
44,Statue 1
45,Street 3
46,Sunset 4
47,Surgery 5
48,Wolf 2
49,Yoga 1
